,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
1043,29,5,29,27,10,0.37,76,39,0.513,20,14,0.7,2016-02-05,0021500750,ATL vs. IND,240,3,16,6,102,32,22015,10,ATL,1610612737,Atlanta Hawks,15,1,W
1063,25,3,33,24,10,0.417,87,39,0.448,23,16,0.696,2016-01-20,0021500639,ATL @ POR,240,10,13,6,104,43,22015,7,ATL,1610612737,Atlanta Hawks,13,1,W
1093,25,7,33,22,11,0.5,78,39,0.5,20,14,0.7,2015-12-20,0021500407,ATL @ ORL,240,8,21,3,103,41,22015,6,ATL,1610612737,Atlanta Hawks,20,1,W
1106,26,7,41,20,6,0.3,81,39,0.481,18,14,0.778,2015-12-09,0021500328,ATL @ DAL,240,6,19,3,98,47,22015,7,ATL,1610612737,Atlanta Hawks,15,1,W
1120,23,8,37,28,10,0.357,90,39,0.433,20,18,0.9,2015-11-30,0021500256,ATL vs. OKC,240,14,15,6,106,51,22015,9,ATL,1610612737,Atlanta Hawks,14,1,W
1165,25,8,43,30,9,0.3,95,38,0.4,26,23,0.885,2016-04-01,0021501131,ATL vs. CLE,265,5,27,-2,108,48,22015,5,ATL,1610612737,Atlanta Hawks,16,1,L
1178,23,6,31,33,13,0.394,78,38,0.487,17,13,0.765,2016-03-21,0021501048,ATL vs. WAS,240,2,15,-15,102,33,22015,5,ATL,1610612737,Atlanta Hawks,14,1,L
1192,15,4,37,25,8,0.32,80,38,0.475,14,7,0.5,2016-03-08,0021500947,ATL @ UTA,240,4,19,7,91,41,22015,9,ATL,1610612737,Atlanta Hawks,16,1,W
1200,29,5,42,17,8,0.471,77,38,0.494,5,3,0.6,2016-02-28,0021500878,ATL vs. CHA,240,6,19,11,87,48,22015,4,ATL,1610612737,Atlanta Hawks,17,1,W
1321,23,6,33,30,9,0.3,89,38,0.427,24,18,0.75,2015-11-18,0021500169,ATL vs. SAC,240,12,15,6,103,45,22015,9,ATL,1610612737,Atlanta Hawks,12,1,W
