AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WL
-254.0,12.0,32.0,-114.0,-50.0,-11.423000000000002,-276.0,-97.0,-4.212000000000007,-11.0,-17.0,-14.335000000000004,16.0,-24.0,-508.0,-261.0,48.0,-18.0,-69.0,-1
-29.0,18.0,191.0,16.0,10.0,1.004999999999999,-142.0,-47.0,0.6989999999999839,-105.0,-92.0,-1.8259999999999863,1.0,-49.0,451.0,-176.0,192.0,54.0,-22.0,-1
-45.0,4.0,37.0,-115.0,-45.0,-17.683,-105.0,-27.0,10.851000000000013,112.0,86.0,20.957000000000004,54.0,-34.0,0.0,-13.0,91.0,-32.0,1.0,-1
-64.0,2.0,-220.0,-347.0,-126.0,-27.919999999999995,-402.0,-125.0,2.207000000000022,-8.0,10.0,-3.2489999999999952,6.0,-46.0,-82.0,-366.0,-214.0,-39.0,-78.0,-1
35.0,28.0,189.0,-86.0,-23.0,-6.699000000000001,192.0,124.0,27.61300000000001,44.0,24.0,11.999999999999998,149.0,93.0,271.0,249.0,338.0,5.0,27.0,-1
-120.0,2.0,-131.0,-284.0,-100.0,-12.879999999999992,-595.0,-235.0,1.7760000000000105,-162.0,-145.0,-30.148999999999997,107.0,22.0,196.0,-715.0,-24.0,-12.0,-58.0,1
79.0,45.0,262.0,15.0,0.0,0.0,730.0,386.0,10.951000000000008,240.0,207.0,36.55599999999999,101.0,17.0,575.0,979.0,363.0,19.0,45.0,1
-99.0,-9.0,-228.0,-139.0,-59.0,-10.830999999999996,-592.0,-287.0,-6.5639999999999965,-213.0,-169.0,-18.503999999999998,-30.0,-56.0,-22.0,-802.0,-258.0,-17.0,-54.0,-1
-152.0,87.0,122.0,-390.0,-156.0,-31.170999999999985,-503.0,-168.0,11.608000000000004,-42.0,-85.0,-18.424999999999997,186.0,9.0,664.0,-577.0,308.0,-54.0,-49.0,1
43.0,19.0,-13.0,1.0,0.0,0.0,2.0,24.0,10.077000000000005,86.0,73.0,18.301000000000002,29.0,-9.0,46.0,121.0,16.0,14.0,-12.0,1
93.0,-42.0,-1.0,236.0,91.0,26.465000000000007,415.0,160.0,-8.862000000000009,-34.0,-16.0,-0.5430000000000064,-117.0,-9.0,-100.0,395.0,-118.0,4.0,15.0,-1
-93.0,-28.0,-226.0,-20.0,-6.0,-4.0,-354.0,-174.0,-7.323999999999998,-164.0,-145.0,-28.770000000000003,-71.0,-80.0,-19.0,-499.0,-297.0,-47.0,-76.0,-1
-53.0,-8.0,27.0,112.0,25.0,-3.8839999999999897,166.0,57.0,-0.29499999999999815,74.0,66.0,14.854,-11.0,-41.0,-174.0,205.0,16.0,7.0,-2.0,-1
132.0,-40.0,-119.0,342.0,117.0,23.337999999999994,555.0,185.0,-9.431000000000008,106.0,119.0,20.475999999999992,-120.0,-29.0,220.0,606.0,-239.0,31.0,46.0,1
157.0,-28.0,71.0,238.0,100.0,28.732000000000003,310.0,134.0,10.347000000000008,22.0,15.0,7.4239999999999995,-13.0,81.0,96.0,383.0,58.0,53.0,48.0,1
7.0,-1.0,24.0,41.0,12.0,11.5,18.0,-1.0,-3.0919999999999987,33.0,25.0,0.1680000000000028,4.0,22.0,-124.0,35.0,28.0,33.0,12.0,1
-52.0,34.0,294.0,220.0,78.0,17.447999999999993,227.0,76.0,19.829999999999984,-16.0,-23.0,18.276000000000003,80.0,96.0,111.0,207.0,374.0,9.0,10.0,-1
